Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,x,4.0,4.4,4.5,5.7,6.8,6.8,6.5,6.5,6.1,5.8,5.6
2010,6.7,6.4,6.2,5.9,5.8,6.2,6.0,5.8,5.5,5.3,5.5,5.1
2011,5.3,5.1,4.8,4.6,4.7,5.4,5.1,4.9,4.8,4.5,4.1,4.0
2012,4.3,4.1,3.9,3.7,3.9,4.4,4.4,4.0,3.7,3.5,3.4,3.4
2013,4.0,3.7,   ,3.4,3.7,4.2,4.0,3.8,3.7,3.6,3.3,3.1
2014,3.2,3.2,3.1,2.6,2.9,3.1,3.2,3.0,2.8,2.6,2.5,2.3
2015,2.8,2.9,3.1,3.1,3.5,3.8,3.8,3.6,3.7,3.8,3.8,3.6
2016,3.9,4.1,4.4,4.4,4.5,4.9,4.9,4.8,4.7,4.3,4.0,3.9
2017,4.0,3.8,3.5,3.0,3.0,3.1,3.0,2.9,2.6,2.3,2.4,2.3
2018,2.4,2.3,2.3,1.9,2.0,2.3,2.1,2.1,2.0,2.0,1.9,1.9
2019,2.3,2.2,2.1,,,,,,,,,