Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2008,66749,67317,67942,68270,68911,69617,69051,69478,70311,70318,70262,70111,69028
2009,68179,67529,66740,66087,65320,64881,64319,63863,64185,64167,64183,64967,65368
2010,63986,64888,65439,66818,67377,67650,67436,67773,68297,69269,69593,69972,67375
2011,70228,70606,71378,72486,73148,73906,74525,74727,75105,75333,75935,76492,73656
2012,75802,76776,77433,78688,79540,80455,80694,81481,81604,81915,82318,82525,79936
2013,81928,82802,83007,84400,84540,85305,84971,85231,85494,85887,86568,86710,84737
2014,86720,87372,88043,89698,90142,91348,91827,92352,92988,93972,94498,94855,91151
2015,92842,91351,90317,89911,89122,89328,87892,87036,86920,86726,86879,86655,88748
2016,85382,84525,83765,83364,82790,82810,82559,82375,82849,83670,84559,84850,83625
2017,84527,85441,86073,87455,88633,90041,90275,91306,91602,93521,94540,95325,89895
2018,97954,99249,100049,102133,102965,104164,104914,105658,105749,,,,